Remote_Ratio,Sundial-CXL-improved,TwoPL-CXL-improved,Sundial-CXL,TwoPL-CXL,Sundial-NET,TwoPL-NET
0/0,575059.0,439096.0,412423.0,326549.0,412110.0,325290.0
10/15,375162.0,274286.0,242567.0,188417.0,183842.0,150117.0
20/30,301436.0,216702.0,184583.0,142725.0,127170.0,99958.2
30/45,256794.0,186051.0,151522.0,116926.0,98179.3,76442.2
40/60,227641.0,165802.0,130420.0,101331.0,78182.2,63464.8
50/75,208472.0,151224.0,115338.0,89367.9,64283.6,54577.2
60/90,192718.0,140812.0,103343.0,80983.4,55903.5,46575.9
