Remote_Ratio,Sundial-CXL-improved,TwoPL-CXL-improved,Sundial-CXL,TwoPL-CXL,Sundial-NET,TwoPL-NET
0/0,562312.0,435242.0,398272.0,321127.0,398962.0,322272.0
10/15,385215.0,283220.0,245499.0,191065.0,158370.0,127451.0
20/30,314905.0,227061.0,188631.0,146257.0,105179.0,85355.3
30/45,273105.0,196396.0,157853.0,121270.0,80058.9,65480.3
40/60,246083.0,176217.0,136469.0,105488.0,64969.8,53409.4
50/75,226843.0,162031.0,121402.0,93852.4,54871.7,45442.3
60/90,212145.0,151158.0,109100.0,84838.2,47399.8,39385.8
