Remote_Ratio,SundialPasha-CXL,Sundial-CXL,Lotus-CXL,SundialPasha-NET,Sundial-NET,Lotus-NET
0/0,814747.0,829692.0,1290760.0,816207.0,828168.0,1305250.0
10/15,669879.0,377708.0,376904.0,637007.0,224432.0,228336.0
20/30,627654.0,263764.0,275854.0,580294.0,141217.0,162159.0
30/45,597107.0,207915.0,271240.0,544134.0,99830.2,132942.0
40/60,571415.0,174256.0,260268.0,511660.0,77228.8,105398.0
50/75,549807.0,150857.0,219916.0,487104.0,64591.6,92140.0
60/90,529074.0,132611.0,226244.0,460082.0,55416.3,76023.6
